issueID,imageKind,searchObject,session,nameOfHouse,nameOfMeeting,issue,date,closing,meetingURL,pdfURL
121715104X00620250415,会議録,0,217,参議院,文教科学委員会,第6号,2025-04-15,,https://kokkai.ndl.go.jp/txt/121715104X00620250415,https://kokkai.ndl.go.jp/img/121715104X00620250415
121705124X01120250425,会議録,0,217,衆議院,文部科学委員会,第11号,2025-04-25,,https://kokkai.ndl.go.jp/txt/121705124X01120250425,https://kokkai.ndl.go.jp/img/121705124X01120250425
121705124X01020250423,会議録,0,217,衆議院,文部科学委員会,第10号,2025-04-23,,https://kokkai.ndl.go.jp/txt/121705124X01020250423,https://kokkai.ndl.go.jp/img/121705124X01020250423
121705124X00920250418,会議録,0,217,衆議院,文部科学委員会,第9号,2025-04-18,,https://kokkai.ndl.go.jp/txt/121705124X00920250418,https://kokkai.ndl.go.jp/img/121705124X00920250418
121705124X00820250416,会議録,0,217,衆議院,文部科学委員会,第8号,2025-04-16,,https://kokkai.ndl.go.jp/txt/121705124X00820250416,https://kokkai.ndl.go.jp/img/121705124X00820250416
121705124X00720250411,会議録,0,217,衆議院,文部科学委員会,第7号,2025-04-11,,https://kokkai.ndl.go.jp/txt/121705124X00720250411,https://kokkai.ndl.go.jp/img/121705124X00720250411
121705124X00620250402,会議録,0,217,衆議院,文部科学委員会,第6号,2025-04-02,,https://kokkai.ndl.go.jp/txt/121705124X00620250402,https://kokkai.ndl.go.jp/img/121705124X00620250402
